product_id,product_type,product_name,product_gender_target,product_category,product_season,product_condition,product_like_count,sold,brand_name,product_material,product_color,price_usd,seller_price,seller_earning,buyers_fees,seller_id,seller_country,seller_products_sold,seller_num_products_listed
40790081,Wool vest,Wool vest Balenciaga Grey size 56 FR in Wool ,Men,Men Clothing,Autumn / Winter,Very good condition,5,TRUE,Balenciaga,Wool,Grey,83.61,69.67,55.83,,23768173,France,7,1
40780757,Vest,Vest JORDAN Black size S International in Synthetic ,Men,Men Clothing,All seasons,Never worn,5,TRUE,JORDAN,Synthetic,Black,74.08,60.71,46.86,,10844285,Italy,3,1
40778553,T-shirt,T,Men,Men Clothing,All seasons,Very good condition,4,TRUE,Dsquared2,Cotton,Black,25.56,21.3,5.33,,13686982,Bulgaria,97,17
40778393,T-shirt,T,Men,Men Clothing,All seasons,Never worn,38,TRUE,Dries Van Noten,Cotton,Multicolour,113.6,93.53,89.79,,24809226,United Kingdom,5,5
40775652,Wool trousers,Wool trousers Prada Anthracite size 44 IT in Wool ,Men,Men Clothing,Autumn / Winter,"Never worn, with tag",6,TRUE,Prada,Wool,Anthracite,171.25,142.71,124.16,,15142698,Italy,64,5
40770717,Pull,Pull Stone Island Red size L International in Cotton ,Men,Men Clothing,All seasons,Good condition,3,TRUE,Stone Island,Cotton,Red,191.7,159.75,131,,965241,Lithuania,285,218
40765935,Polo ajusté manches courtes polo shirt,Polo ajusté manches courtes polo shirt Polo Ralph Lauren Blue size XL International in Cotton ,Men,Men Clothing,All seasons,Very good condition,2,TRUE,Polo Ralph Lauren,Cotton,Blue,49.84,41.54,25.56,,14323432,Latvia,156,102
40725989,Polo shirt,Polo shirt Dior Homme Navy size 46 IT in Cotton ,Men,Men Clothing,All seasons,Very good condition,10,TRUE,Dior Homme,Cotton,Navy,71.66,59.72,45.87,,5966669,France,121,83
40758583,Pull,Pull Tommy Hilfiger Blue size L International in Cotton ,Men,Men Clothing,All seasons,Very good condition,2,TRUE,Tommy Hilfiger,Cotton,Blue,33.23,27.69,13.85,,14511404,Italy,35,22
40757137,Brodé sweatshirt,Brodé sweatshirt Jacquemus Khaki size M International in Cotton ,Men,Men Clothing,All seasons,"Never worn, with tag",51,TRUE,Jacquemus,Cotton,Khaki,254.32,211.94,184.38,,23534741,France,28,3
40753878,Puffer,Puffer Chevignon Khaki size XXL International in Polyester ,Men,Men Clothing,Autumn / Winter,Never worn,4,TRUE,Chevignon,Polyester,Khaki,118.85,99.05,85.2,,24313883,France,8,10
40754343,Vest,Vest La Haine Inside Us White size XL International in Cotton ,Men,Men Clothing,All seasons,Very good condition,5,TRUE,La Haine Inside Us,Cotton,White,60.07,50.06,34.08,,16352643,Austria,36,44
40749330,Wool pull,Wool pull Stone Island Anthracite size XXL International in Wool ,Men,Men Clothing,Autumn / Winter,Very good condition,2,TRUE,Stone Island,Wool,Anthracite,143.33,119.44,103.91,,6405182,Italy,11,6
40748944,Short,Short Nike Grey size M International in Cotton ,Men,Men Clothing,Spring / Summer,"Never worn, with tag",1,TRUE,Nike,Cotton,Grey,48.4,44,29,,15687521,United States,297,580
40746122,Vest,Vest Cp Company Red size XXL International in Polyamide ,Men,Men Clothing,All seasons,"Never worn, with tag",2,TRUE,Cp Company,Polyamide,Red,286.65,238.88,207.82,,12307332,France,78,200
40741991,Puffer,Puffer Loro Piana Beige size M International in Polyester ,Men,Men Clothing,Autumn / Winter,Very good condition,36,TRUE,Loro Piana,Polyester,Beige,365.14,304.29,264.73,,48600,France,79707,3070
40741092,Leather vest,Leather vest Belstaff Beige size M International in Leather ,Men,Men Clothing,All seasons,Very good condition,26,TRUE,Belstaff,Leather,Beige,182.02,151.69,131.97,,17054771,Italy,266,59
40699071,Shearling coat,Shearling coat Hermès Grey size 52 FR in Shearling ,Men,Men Clothing,Autumn / Winter,Very good condition,15,TRUE,Hermès,Shearling,Grey,2236.5,1863.75,1528.28,,23924721,Croatia,9,5
40734195,Slim jean,Slim jean Saint Laurent Black size 30 US in Cotton ,Men,Men Clothing,All seasons,Very good condition,10,TRUE,Saint Laurent,Cotton,Black,99,82.5,68.66,,6477565,France,129,2
40700911,Leather vest,Leather vest D&G Black size 52 IT in Leather ,Men,Men Clothing,All seasons,Very good condition,13,TRUE,D&G,Leather,Black,125,102.44,88.59,,24515941,France,26,25
40694215,Sweatshirt,Sweatshirt Gucci Black size L International in Cotton ,Men,Men Clothing,All seasons,Good condition,43,TRUE,Gucci,Cotton,Black,376.23,313.53,272.77,,11136060,Italy,83,27
